ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,classification_wals,classification_ethnologue,classification_glottolog,recently_extinct,long_extinct,year_of_extinction,code_wals,code_iso,transcribers
A51_BAFIA_MAJA,A51_BAFIA_MAJA,lefa1242,Lefa,lfa,Africa,5.1,11.2,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Bafia(A.51)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50),NuclearBafia(A.50),Lefa-Bafia",False,False,,,lfa,Ann-Katrin Wett
A51_BAFIA_TUMI_TINGON,A51_BAFIA_TUMI_TINGON,lefa1242,Lefa,lfa,Africa,5.1,11.2,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Bafia(A.51)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50),NuclearBafia(A.50),Lefa-Bafia",False,False,,,lfa,Ann-Katrin Wett
A51_BAFIA_ZAKAAN,A51_BAFIA_ZAKAAN,lefa1242,Lefa,lfa,Africa,5.1,11.2,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Bafia(A.51)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50),NuclearBafia(A.50),Lefa-Bafia",False,False,,,lfa,Ann-Katrin Wett
A53_BAFIA_RIKPA,A53_BAFIA_RIKPA,bafi1243,Bafia,ksf,Africa,5.0,11.17,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Bafia(A.53)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50),NuclearBafia(A.50),Lefa-Bafia",False,False,,bfi,ksf,Ann-Katrin Wett
A54_BAFIA_NJANTI,A54_BAFIA_NJANTI,tibe1274,Tibea,ngy,Africa,5.3,11.3,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Bafia(A.54)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50)",False,False,,,ngy,Ann-Katrin Wett
A60_GUNU,A60_GUNU,nugu1242,Nugunu (Cameroon),yas,Africa,4.58,11.25,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Sanaga(A.622)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Mbam,Yambasa(A.60)",False,False,,gun,yas,Ann-Katrin Wett
A60_MMAALA,A60_MMAALA,mmaa1238,Mmaala,mmu,Africa,4.5,11.08,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Sanaga(A.62)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Mbam,Yambasa(A.60),Baca-NuclearYambasa,NuclearYambasa,Elip-Maala",False,False,,,mmu,Ann-Katrin Wett
A61_NGORO_ASOM,A61_NGORO_ASOM,tuki1240,Tuki,bag,Africa,4.58,11.5,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Sanaga(A.601)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Mbam,Sanaga(A.60)",False,False,,tki,bag,Ann-Katrin Wett
A62_KALONGE,A62_KALONGE,yang1293,Yangben,yav,Africa,4.43,11.08,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Sanaga(A.62)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Mbam,Yambasa(A.60),Baca-NuclearYambasa,NuclearYambasa",False,False,,,yav,Ann-Katrin Wett
A72a_EWONDO,A72a_EWONDO,ewon1239,Ewondo,ewo,Africa,4.0,12.0,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Ewondo-Fang(A.72)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Yaunde-Fang(A.70),Ewondo-Bebele",False,False,,ewo,ewo,Ann-Katrin Wett
AASAX,AASAX,aasa1238,Aasax,aas,Africa,-4.04,37.16,Afro-Asiatic,AA.SOUTHERN_CUSHITIC,"Afro-Asiatic,Cushitic,South","Afro-Asiatic,Cushitic,SouthCushitic,UnclassifiedSouthCushitic",False,False,,,aas,Darja Appelganz
ABAGA,ABAGA,abag1245,Abaga,abg,Papunesia,-6.17,145.67,Nuclear Trans New Guinea,TNG.EASTERN_HIGHLANDS,"Trans-NewGuinea,Madang,Kalam-Kobon","Nuclear_Trans_New_Guinea,Kainantu-Goroka,Goroka,NuclearGoroka,Siane-Yagaria,Kamano-Yagaria,UnclassifiedKamano-Yagaria",False,False,,,abg,Matthew S. Dryer and Søren Wichmann
ABANYOM,ABANYOM,aban1242,Abanyom,abm,Africa,6.29,8.63,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,Ekoid,Bakor","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,Ekoid-Mbe,Ekoid,Bakor-Ejagham,Bakor,Abanyom-Ekajuk",False,False,,,abm,Guillaume Segerer and Søren Wichmann
ABAR,ABAR,abar1238,Mungbam,mij,Africa,6.58,10.25,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,Yemne-Kimbi","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid",False,False,,,mij,Viveka Velupillai
ABASAKUR,ABASAKUR,pall1244,Pal,abw,Papunesia,-4.77,145.23,Nuclear Trans New Guinea,TNG.MADANG,"Trans-NewGuinea,Madang,Croisilles,Pihom,Omosan","Nuclear_Trans_New_Guinea,Madang,Croisilles,Tibor-Omosa,Omosan",False,False,,,abw,Cecil H. Brown
