# Adlam alphabet
Fulfulde/Pular	

# Afaka syllabary

# Anatolian alphabets
Anatolian languages	extinct

# Arabic
Arabic	
Algerian	
Egyptian	
Lebanese	
Moroccan	
Iraqi	
Tunisian	
Afar	Kabir Hamza script
Azerbaijani	Iran only
Arwi	
Bakhtiari	
Balochi	
Balti	
Banjar	
Bashkir	
Bengali language	Historical) (along with Bengali, Sylheti and Assamese script
Berber	
Bhadrawahi	
Brahui	
Central Kurdish	
Cham	
Chechen	alongside the [[Georgian script]]
Chittagonian	
Comorian	
Dari	
Dogri	also uses [[Devanāgarī]] in India and [[Takri script]]
Dyula	
Gilaki	
Ingush	at the beginning of the 20th century
Jola-Fonyi	
Judeo-Arabic languages	
Judeo-Tunisian Arabic	
Judaeo-Spanish	until the 20th century
Kashmiri	
Khowar	
Kurdish	Iran and Iraq
Lezgin	
Luri	
Madurese	with the Pegon alphabet
Mandinka	
Marwari	Pakistan
Mazanderani	
Minangkabau	
Mozarabic	now extinct
Nobiin	algongside Latin script
Ottoman Turkish	extinct
Pashto	
Persian	Iran and Afghanistan
Qashqai	
Rohingya	also uses the Latin script
Salar	
Saraiki	
Sindhi	
Songhay	
Talysh	
Tatar	
Tausug	
Tuareg	
Urdu	
Uyghur	
Wakhi	
Wolio	
Khunsari
Soi
South Levantine Arabic

# Aramaic alphabet
Assyrian
Assyrian Neo-Aramaic	
Bohtan Neo-Aramaic	
Chaldean Neo-Aramaic	
Hertevin	
Koy Sanjaq Surat	
Senaya	
Syriac	
Turoyo	also has new Latin-based script

# Armenian
Armenian	
Western Armenian	
Classical Armenian	
Middle Armenian	

# ASL-phabet
American Sign Language	also [[si5s]], [[SignWriting]], and [[Stokoe notation]]

# Bengali–Assamese
Assamese	
Bishnupriya Manipuri	with Bengali ra
Bodo	less common now
Deori	
Garo	
Kamtapuri	
Khasi	
Koch	
Rabha	
Meitei Manipuri	with Bengali ra
Mising	
Sylheti	
Tiwa	
Bengali alphabet	
Bengali (Bangla)	
Sylheti	
Bishnupriya Manipuri	with Assamese va
Chittagonian	
Meitei Manipuri	with Assamese va
Hajong	
Kokborok	
Mithilakshara/Tirhuta (Maithili alphabet)	
Maithili	
Anga Lipi	
Angika	

# Balinese
Balinese language	

# Baybayin|Baybayin

# Buhid
Buhid	

# Chakma alphabet|Chakma
Chakma	

# Devanagari
Hindi	
Sanskrit	
Marathi	
Bhojpuri	
Magadhi	
Maithili	
Nepali	
Konkani	also written in [[Latin script|Latin]] and [[Kannada script|Kannada]]
Kashmiri	also written in [[Arabic script|Arabic]]
Bodo	
Dogri	
Santali	
Chhattisgarhi	
Nepal Bhasa	mainly written in [[Ranjana script|Ranjana Script]]
Kangri

# Gujarati
Gujarati	

# Hanunó'o
Hanunó'o	

# Kaithi
Awadhi	
Magahi	
Maithili	

# Kannada
Kannada	
Konkani	In Karnataka
Tulu	
Kodava	
Beary bashe	also written in Latin
Sankethi	

# Khmer
Khmer	

# Kulitan alphabet
Kapampangan	

# Laṇḍā scripts
# Gurmukhi
Punjabi	also written in [[Shahmukhi]], a variant of the [[Arabic script]]

# Khojki

# Khudabadi script|Khudawadi

# Mahajani

# Multani

# Lao
Lao	

# Leke
Eastern Pwo	

# Lepcha
Lepcha	

# Limbu
Limbu	

# Lontara
Makassarese	
Buginese	
Mandar	

# Malayalam
Malayalam	

# Meitei Mayek alphabet|Meitei Mayek
Meitei Manipuri	

# Tirhuta|Tirhuta/Mithilakshar
Maithili	

# Modi alphabet|Modi

# Burmese script|Myanmar
Burmese	
Karen	
Geba Karen	
Pa-O	
Pwo Karen	
S'gaw Karen	
Mon	
Rumai Palaung	
Shan	

# Odia
Odia	

# 'Phags-pa
Tibetan	for decorative purposes

# Ranjana alphabet|Ranjana
Nepal Bhasa	

# Saurashtra alphabet|Saurashtra
Saurashtra	

# Sinhala
Sinhala	
Elu	
Vedda		

# Sylheti Nagri|Sylhet Nagri
Sylheti	
Barman Kachari	
Bengali dialects	historical

# Tagbanwa
Palawan languages	

# Tamil
Tamil	
Badaga	
Irula	
Kanikkaran	
Paniya	
Saurashtra	

# Telugu
Telugu	

# Thaana
Dhivehi	Maldivian
Malé Latin	

# Thai
Thai	

# Tibetan
Tibetan	
Dzongkha	
Ladakhi	
Sikkimese	
Sherpa	
Zhang-Zhung	extinct

# Canadian Aboriginal syllabics|Canadian Aboriginal
Blackfoot	
Chipewyan	
Cree	
Dakelh	
Dane-zaa	
Inuktitut	
Ojibwe	
Sekani	
Slavey	
Tłįchǫ	

# Caucasian Albanian alphabet

# Cherokee syllabary|Cherokee
Cherokee	

# Coptic alphabet
Coptic	extinct, still in use liturgically

# Cyrillic
Belarusian	also [[Latin script]] in the past
Bulgarian	
Judaeo-Spanish	also [[Latin script]], others
Kazakh	to be replaced with Latin script by 2025
Kyrgyz	
Macedonian	
Mongolian	also [[Mongolian script]] and [[Latin script]]
Montenegrin	also [[Latin script]] in the past
Russian	
Serbian (Cyrillic)	also [[Latin script]], not official
Ukrainian	
Moksha
Erzya
Komi Zyrian
Old East Slavic
Buryat
Komi Permyak
Chukchi

# Ge'ez
Amharic	
Ge'ez	
Tigrinya	
Tigre	
Harari	
Blin	

# Georgian
Georgian	
Laz	sometimes Latin
Mingrelian	
Svan	

# Glagolitic alphabet
Old Church Slavonic	extinct, still in use liturgically

# Greek
Ancient Greek
Greek	
Coptic Egyptian	
Bactrian	extinct
Judaeo-Spanish	also [[Latin script]]
Karamanli Turkish	extinct

# Chinese characters
Sinitic	
Guanhua	Mandarin
Yue	
Cantonese	
Wu	
Shanghainese	
Min	
Taiwanese	
Xiang	
Hakka	
Gan	
Jin	
Huizhou	
Ping	
Dong	
Bai	obsolete
Miao	obsolete
Zhuang	
Chinese
Classical Chinese

# Hangul
Korean	
Cia-Cia	
Jeju	

# Hebrew
Aramaic	and other writing systems
Bukhori	
Hebrew	
Hulaula	
Jewish Neo-Aramaic dialect of Urmia	
Jewish Neo-Aramaic dialect of Zakho	
Judeo-Iraqi Arabic	
Judeo-Moroccan	
Judeo-Tripolitanian Arabic	
Judeo-Tunisian Arabic	
Judeo-Portuguese	
Judeo-Spanish	originally [[Rashi script]], and other writing systems
Judeo-Yemenite	
Lishanid Noshan	
Iranian	
Shuadit	
Yiddish	
Zarphatic	

# Old Italic
Italic	extinct

# Kana
