,Akkadian,Assyrian,Hebrew,Maltese,Arabic,Bambara,Yoruba,Wolof,Basque,Albanian,Armenian,Western Armenian,Latvian,Lithuanian,Breton,Scottish Gaelic,Irish,Manx,Welsh,Afrikaans,Danish,Dutch,English,Faroese,Gothic,Icelandic,Low Saxon,Norwegian,German,Swedish,Greek,Ancient Greek,Bhojpuri,Hindi,Marathi,Sanskrit,Urdu,Kurmanji,Persian,Catalan,French,Galician,Italian,Latin,Portuguese,Romanian,Spanish,Belarusian,Bulgarian,Croatian,Czech,Old Church Slavonic,Polish,Russian,Serbian,Slovak,Slovenian,Ukrainian,Upper Sorbian,Estonian,Finnish,Karelian,Erzya,Moksha,Komi Permyak,Komi Zyrian,Skolt Sami,Hungarian,Kazakh,Old Turkish,Turkish,Uyghur,Japanese,Korean,Telugu,Tamil,Cantonese,Chinese,Classical Chinese,Thai,Vietnamese,Tagalog,Indonesian,Warlpiri,Kiche,Apurina,Munduruku,Guajajara,Tupinamba,Kaapor
Akkadian,,52.34,83.12,85.68,84.49,95.19,99.81,97.05,99.1,99.74,100.42,99.68,100.11,96.49,97.09,100.65,98.91,100.3,92.76,99.59,99.19,98.77,99.93,100.27,100.12,100.2,98.55,100.29,100.83,98.95,100.04,99.17,102.13,98.6,100.52,100.98,98.51,100.77,96.59,96.89,96.56,94.13,95.64,95.67,98.19,96.76,97.85,98.73,95.45,95.55,97.83,98.27,98.98,98.54,96.97,98.02,94.7,100.71,99.98,101.6,101.39,101.22,103.05,99.27,96.53,97.82,100.53,98.75,97.16,102.4,94.73,97.77,98.27,95.72,102.76,97.66,98.5,100.69,98.66,101.39,100.81,99.58,96.96,97.71,97.96,101.36,97.07,97.46,102.69,96.91
Assyrian,52.34,,89.45,91.88,90.89,95.95,101.11,100.44,99.99,99.31,101.7,100.69,97.46,97.22,101.22,101.61,100.39,101.24,96.49,98.27,99.79,97.2,99.43,99.34,99.25,101.3,99.98,101.07,101.81,99.92,98.55,98.73,96.22,98.68,97.23,99.58,97.83,96.75,97.91,98.94,98.79,96.3,97.1,96.1,98.21,96.99,99.24,98.38,95.94,97.12,98.25,97.18,97.1,97.86,96.77,98.42,95.55,100.65,100.03,99.3,101.68,101.62,101.0,100.38,91.56,95.43,101.37,97.41,102.21,103.64,97.69,100.68,97.94,95.88,103.89,101.66,101.7,101.11,102.14,100.44,101.13,98.15,96.2,95.48,97.38,100.99,96.9,100.76,103.84,99.8
Hebrew,83.12,89.45,,86.23,78.11,95.89,97.9,98.08,100.44,95.58,101.87,102.7,101.95,99.55,96.61,100.5,101.97,101.92,96.41,99.8,96.9,98.63,96.88,99.54,96.55,99.59,97.93,98.35,99.59,98.15,99.68,99.25,94.77,96.52,99.09,101.22,96.55,101.1,99.16,95.66,93.05,97.53,98.52,98.15,100.0,96.17,98.69,99.66,99.97,100.54,98.91,100.97,100.05,100.16,100.59,98.52,99.83,98.71,97.96,100.47,99.68,100.3,99.67,95.77,97.92,99.16,98.95,97.5,99.89,99.91,99.7,100.13,100.7,93.94,99.23,99.57,99.93,102.77,97.6,101.47,98.91,101.8,99.78,100.53,98.34,99.62,102.72,103.05,102.9,105.62
Maltese,85.68,91.88,86.23,,70.91,98.28,97.77,98.68,99.41,97.76,99.43,98.77,101.43,100.15,100.22,100.15,100.73,101.46,99.54,101.23,100.03,99.82,101.56,100.16,99.35,99.69,99.83,99.8,102.27,100.19,101.12,98.75,99.65,100.83,100.67,101.03,99.18,98.47,98.6,95.0,97.28,96.95,93.85,97.43,93.95,93.03,95.79,99.38,98.4,100.48,98.39,99.88,99.3,101.15,100.0,100.33,97.94,99.78,99.04,101.44,101.21,100.87,101.32,100.01,98.26,100.05,101.9,100.02,101.99,105.26,99.71,101.74,98.44,98.38,96.83,99.35,96.33,99.66,101.24,99.37,97.86,100.43,102.74,100.99,99.35,99.67,98.8,98.24,100.37,99.22
Arabic,84.49,90.89,78.11,70.91,,95.02,100.1,98.3,99.66,97.18,98.34,98.84,101.09,99.69,96.86,99.72,99.77,101.15,100.25,99.64,98.53,100.11,97.76,99.28,100.31,99.32,99.73,98.39,99.26,97.84,98.93,99.38,96.41,97.57,100.05,100.71,96.44,96.59,97.46,96.92,97.3,97.19,97.27,98.4,97.54,94.51,98.49,99.11,98.42,100.13,99.64,99.75,99.52,96.72,100.15,100.33,98.99,98.61,98.78,102.42,99.43,101.0,101.51,100.15,98.9,99.47,100.29,98.53,98.3,101.2,95.18,97.06,100.09,96.31,97.83,98.19,101.32,100.92,98.89,98.23,100.08,99.82,98.63,101.31,99.65,99.72,100.35,98.95,100.75,100.58
Bambara,95.19,95.95,95.89,98.28,95.02,,99.75,101.38,96.06,95.24,98.22,94.97,97.25,97.3,99.82,99.52,98.13,97.14,99.82,99.77,98.5,101.36,101.23,101.36,97.26,99.6,98.1,100.03,101.02,101.16,98.35,100.21,93.9,95.3,100.34,100.1,94.94,98.65,98.66,94.31,94.91,95.22,97.8,99.52,95.16,96.54,99.85,100.78,101.19,97.66,100.79,99.7,99.02,99.92,97.45,98.3,98.68,100.29,100.2,96.7,100.46,95.21,97.55,101.77,99.79,99.2,101.98,99.72,99.49,102.37,96.21,98.68,96.62,95.71,96.53,98.26,103.1,101.42,103.32,96.21,101.09,98.02,95.39,97.27,102.35,98.5,99.98,99.1,96.09,99.07
Yoruba,99.81,101.11,97.9,97.77,100.1,99.75,,96.62,102.09,99.69,100.07,98.88,98.34,102.77,101.49,98.86,98.35,99.38,100.63,99.63,100.93,101.46,99.36,101.82,103.44,102.13,101.48,101.12,103.64,103.23,103.04,102.4,96.13,98.99,97.56,98.7,98.35,98.58,99.58,102.61,102.08,102.77,101.77,101.82,100.9,100.03,100.52,101.7,100.93,103.35,101.37,102.64,100.3,101.02,102.24,101.03,102.34,100.36,100.06,100.71,101.84,101.69,101.31,101.81,101.28,102.65,101.59,99.81,100.81,100.41,102.26,100.76,98.42,100.76,95.56,99.72,100.63,97.78,100.19,98.8,99.56,99.0,99.99,102.87,101.21,88.26,100.29,99.4,99.22,97.22
Wolof,97.05,100.44,98.08,98.68,98.3,101.38,96.62,,96.62,99.56,97.41,101.05,103.46,102.39,99.72,97.87,95.29,98.04,102.35,102.04,101.28,103.13,99.25,100.13,103.69,103.11,104.61,97.89,99.97,100.05,100.5,100.97,100.53,100.71,100.35,98.99,104.08,99.19,99.79,103.25,95.35,101.88,102.6,103.83,102.45,102.5,102.63,102.36,98.52,98.05,99.28,101.74,101.8,99.28,97.55,99.87,100.83,99.49,101.27,99.56,100.5,102.14,100.38,99.17,103.11,105.35,99.09,101.02,97.01,99.88,100.01,97.04,101.13,101.19,102.85,100.15,101.01,104.74,98.91,102.67,96.5,100.02,99.4,100.54,101.03,98.25,99.51,95.44,101.87,99.72
Basque,99.1,99.99,100.44,99.41,99.66,96.06,102.09,96.62,,98.41,98.87,98.0,100.26,98.79,99.41,99.05,99.59,99.03,98.04,100.79,102.96,101.57,101.42,101.5,97.53,98.74,101.94,100.95,101.54,100.52,97.52,102.53,101.44,102.75,103.49,101.35,100.92,101.52,101.14,101.6,100.55,98.91,102.29,98.71,98.63,100.85,101.71,99.52,99.12,99.98,100.39,100.63,100.09,100.33,100.27,98.9,100.12,100.89,101.12,99.44,99.04,97.85,100.72,99.75,101.43,101.69,102.17,97.43,100.77,99.85,99.52,100.14,99.65,99.13,96.66,97.52,96.73,101.27,97.29,99.27,96.92,99.84,98.81,97.69,101.18,97.68,99.05,98.26,99.86,96.99
Albanian,99.74,99.31,95.58,97.76,97.18,95.24,99.69,99.56,98.41,,97.41,97.33,95.81,94.87,95.75,97.83,98.02,95.75,98.84,99.12,95.13,98.89,96.56,95.78,94.8,96.61,96.12,97.73,95.68,96.34,97.75,98.25,93.96,92.64,98.29,97.32,96.42,97.04,97.06,91.55,91.45,93.25,90.32,93.62,90.43,90.41,94.96,95.73,96.13,98.17,97.74,99.57,98.52,97.82,98.41,96.19,97.89,97.99,97.17,97.87,102.0,99.0,102.57,102.18,99.85,100.55,100.12,97.86,100.89,99.79,97.39,99.74,101.56,98.31,99.58,100.56,100.78,100.97,99.45,100.79,100.85,101.7,100.49,100.62,101.61,101.22,102.37,99.82,98.81,101.24
