,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
0,token-classification,udpos28,43b3553f,en,en,xlm-roberta-base,ft,93.31498696442209
1,token-classification,udpos28,43b3553f,en,nl,xlm-roberta-base,ft,88.76677259887006
2,token-classification,udpos28,43b3553f,en,de,xlm-roberta-base,ft,87.27048804655915
3,token-classification,udpos28,43b3553f,en,it,xlm-roberta-base,ft,86.24947383190683
4,token-classification,udpos28,43b3553f,en,fr,xlm-roberta-base,ft,85.88061901252763
5,token-classification,udpos28,43b3553f,en,es,xlm-roberta-base,ft,89.89013504234379
6,token-classification,udpos28,43b3553f,en,ru,xlm-roberta-base,ft,89.00602701498033
7,token-classification,udpos28,43b3553f,en,sv,xlm-roberta-base,ft,93.13734171610733
8,token-classification,udpos28,43b3553f,en,no,xlm-roberta-base,ft,87.0853208601553
9,token-classification,udpos28,43b3553f,en,da,xlm-roberta-base,ft,89.583956899132
10,token-classification,udpos28,43b3553f,en,nds,xlm-roberta-base,ft,55.3932584269663
11,token-classification,udpos28,43b3553f,en,akk,xlm-roberta-base,ft,38.29362029208301
12,token-classification,udpos28,43b3553f,en,hy,xlm-roberta-base,ft,84.65405793631793
13,token-classification,udpos28,43b3553f,en,cy,xlm-roberta-base,ft,67.04654128147912
14,token-classification,udpos28,43b3553f,en,orv,xlm-roberta-base,ft,73.76921971547637
15,token-classification,udpos28,43b3553f,en,sq,xlm-roberta-base,ft,85.03253796095444
16,token-classification,udpos28,43b3553f,en,sl,xlm-roberta-base,ft,77.4364934418064
17,token-classification,udpos28,43b3553f,en,gub,xlm-roberta-base,ft,33.11258278145696
18,token-classification,udpos28,43b3553f,en,kmr,xlm-roberta-base,ft,75.7181328545781
19,token-classification,udpos28,43b3553f,en,tr,xlm-roberta-base,ft,77.49357986646123
20,token-classification,udpos28,43b3553f,en,fi,xlm-roberta-base,ft,85.36629805603442
21,token-classification,udpos28,43b3553f,en,id,xlm-roberta-base,ft,86.8125965218559
22,token-classification,udpos28,43b3553f,en,uk,xlm-roberta-base,ft,85.93512120857243
23,token-classification,udpos28,43b3553f,en,pl,xlm-roberta-base,ft,84.83113626239461
24,token-classification,udpos28,43b3553f,en,pt,xlm-roberta-base,ft,88.56235107227958
25,token-classification,udpos28,43b3553f,en,kk,xlm-roberta-base,ft,81.02683780630106
26,token-classification,udpos28,43b3553f,en,la,xlm-roberta-base,ft,79.37356087564864
27,token-classification,udpos28,43b3553f,en,fro,xlm-roberta-base,ft,59.16004147943311
28,token-classification,udpos28,43b3553f,en,bxr,xlm-roberta-base,ft,63.765948963317385
29,token-classification,udpos28,43b3553f,en,urb,xlm-roberta-base,ft,21.25
30,token-classification,udpos28,43b3553f,en,ko,xlm-roberta-base,ft,61.88743885425681
31,token-classification,udpos28,43b3553f,en,et,xlm-roberta-base,ft,87.90491160409003
32,token-classification,udpos28,43b3553f,en,hr,xlm-roberta-base,ft,85.75432811211871
33,token-classification,udpos28,43b3553f,en,got,xlm-roberta-base,ft,26.171798391841538
34,token-classification,udpos28,43b3553f,en,gsw,xlm-roberta-base,ft,48.337950138504155
35,token-classification,udpos28,43b3553f,en,aii,xlm-roberta-base,ft,15.2317880794702
36,token-classification,udpos28,43b3553f,en,sme,xlm-roberta-base,ft,43.306693306693305
37,token-classification,udpos28,43b3553f,en,pcm,xlm-roberta-base,ft,45.80748588555099
38,token-classification,udpos28,43b3553f,en,lv,xlm-roberta-base,ft,85.60325561226192
39,token-classification,udpos28,43b3553f,en,zh,xlm-roberta-base,ft,32.50651280985792
40,token-classification,udpos28,43b3553f,en,tl,xlm-roberta-base,ft,72.3463687150838
41,token-classification,udpos28,43b3553f,en,bm,xlm-roberta-base,ft,32.99573175142878
42,token-classification,udpos28,43b3553f,en,lt,xlm-roberta-base,ft,85.55350243574668
43,token-classification,udpos28,43b3553f,en,gl,xlm-roberta-base,ft,86.02225312934631
44,token-classification,udpos28,43b3553f,en,vi,xlm-roberta-base,ft,65.23630280217482
45,token-classification,udpos28,43b3553f,en,el,xlm-roberta-base,ft,86.8035786905246
46,token-classification,udpos28,43b3553f,en,ca,xlm-roberta-base,ft,88.13600309537628
