,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
0,token-classification,udpos28,3822decc,en,en,xlm-roberta-base,ft,96.36320543544097
1,token-classification,udpos28,3822decc,en,nl,xlm-roberta-base,ft,90.09975282485875
2,token-classification,udpos28,3822decc,en,de,xlm-roberta-base,ft,89.38900083726575
3,token-classification,udpos28,3822decc,en,it,xlm-roberta-base,ft,87.61517234928208
4,token-classification,udpos28,3822decc,en,fr,xlm-roberta-base,ft,87.21549636803874
5,token-classification,udpos28,3822decc,en,es,xlm-roberta-base,ft,90.02059967956055
6,token-classification,udpos28,3822decc,en,ru,xlm-roberta-base,ft,90.61775288592598
7,token-classification,udpos28,3822decc,en,sv,xlm-roberta-base,ft,93.92189852120782
8,token-classification,udpos28,3822decc,en,no,xlm-roberta-base,ft,89.1492613346918
9,token-classification,udpos28,3822decc,en,da,xlm-roberta-base,ft,91.43968871595331
10,token-classification,udpos28,3822decc,en,nds,xlm-roberta-base,ft,54.044943820224724
11,token-classification,udpos28,3822decc,en,akk,xlm-roberta-base,ft,22.32129131437356
12,token-classification,udpos28,3822decc,en,hy,xlm-roberta-base,ft,87.26358630596121
13,token-classification,udpos28,3822decc,en,cy,xlm-roberta-base,ft,70.45744341727766
14,token-classification,udpos28,3822decc,en,orv,xlm-roberta-base,ft,73.13119701106481
15,token-classification,udpos28,3822decc,en,sq,xlm-roberta-base,ft,79.71800433839479
16,token-classification,udpos28,3822decc,en,sl,xlm-roberta-base,ft,78.02590071392993
17,token-classification,udpos28,3822decc,en,gub,xlm-roberta-base,ft,18.322295805739515
18,token-classification,udpos28,3822decc,en,kmr,xlm-roberta-base,ft,73.22710951526032
19,token-classification,udpos28,3822decc,en,tr,xlm-roberta-base,ft,77.92629686697484
20,token-classification,udpos28,3822decc,en,fi,xlm-roberta-base,ft,86.90801552929965
21,token-classification,udpos28,3822decc,en,id,xlm-roberta-base,ft,86.07735177600216
22,token-classification,udpos28,3822decc,en,uk,xlm-roberta-base,ft,87.38728188312449
23,token-classification,udpos28,3822decc,en,pl,xlm-roberta-base,ft,86.52884789889625
24,token-classification,udpos28,3822decc,en,pt,xlm-roberta-base,ft,89.78024887476833
25,token-classification,udpos28,3822decc,en,kk,xlm-roberta-base,ft,82.96382730455076
26,token-classification,udpos28,3822decc,en,la,xlm-roberta-base,ft,75.32252911300363
27,token-classification,udpos28,3822decc,en,fro,xlm-roberta-base,ft,37.15289779928563
28,token-classification,udpos28,3822decc,en,bxr,xlm-roberta-base,ft,55.94098883572568
29,token-classification,udpos28,3822decc,en,urb,xlm-roberta-base,ft,8.333333333333332
30,token-classification,udpos28,3822decc,en,ko,xlm-roberta-base,ft,64.69528670069047
31,token-classification,udpos28,3822decc,en,et,xlm-roberta-base,ft,87.94056165027304
32,token-classification,udpos28,3822decc,en,hr,xlm-roberta-base,ft,87.25061830173124
33,token-classification,udpos28,3822decc,en,got,xlm-roberta-base,ft,12.169052755442243
34,token-classification,udpos28,3822decc,en,gsw,xlm-roberta-base,ft,44.66759002770083
35,token-classification,udpos28,3822decc,en,aii,xlm-roberta-base,ft,14.56953642384106
