,language_id,language,tokens,size,script
0,af,Afrikaans,242.0,1.3,latin
1,am,Amharic,68.0,0.8,ethiopic
2,ar,Arabic,2869.0,28.0,arabic
3,as,Assamese,5.0,0.1,bengali
4,az,Azerbaijani,783.0,6.5,latin
5,be,Belarusian,362.0,4.3,cyrillic
6,bg,Bulgarian,5487.0,57.5,cyrillic
7,bn,Bengali,525.0,8.4,bengali
8,bn,Bengali,77.0,0.5,latin
9,br,Breton,16.0,0.1,latin
10,bs,Bosnian,14.0,0.1,latin
11,ca,Catalan,1752.0,10.1,latin
12,cs,Czech,2498.0,16.3,latin
13,cy,Welsh,141.0,0.8,latin
14,da,Danish,7823.0,45.6,latin
15,de,German,10297.0,66.6,latin
16,el,Greek,4285.0,46.9,greek
17,en,English,55608.0,300.8,latin
18,eo,Esperanto,157.0,0.9,latin
19,es,Spanish,9374.0,53.3,latin
20,et,Estonian,843.0,6.1,latin
21,eu,Basque,270.0,2.0,latin
22,fa,Persian,13259.0,111.6,arabic
23,fi,Finnish,6730.0,54.3,latin
24,fr,French,9780.0,56.8,latin
25,fy,Western Frisian,29.0,0.2,latin
26,ga,Irish,86.0,0.5,latin
27,gd,Scottish Gaelic,21.0,0.1,latin
28,gl,Galician,495.0,2.9,latin
29,gu,Gujarati,140.0,1.9,gujarati
30,ha,Hausa,56.0,0.3,latin
31,he,Hebrew,3399.0,31.6,hebrew
32,hi,Hindi,1715.0,20.2,devanagari
33,hi,Hindi,88.0,0.5,latin
34,hr,Croatian,3297.0,20.5,latin
35,hu,Hungarian,7807.0,58.4,latin
36,hy,Armenian,421.0,5.5,armenian
37,id,Indonesian,22704.0,148.3,latin
38,is,Icelandic,505.0,3.2,latin
39,it,Italian,4983.0,30.2,latin
40,ja,Japanese,530.0,69.3,kana
41,jv,Javanese,24.0,0.2,latin
42,ka,Georgian,469.0,9.1,georgian
43,kk,Kazakh,476.0,6.4,cyrillic
44,km,Khmer,36.0,1.5,latin
45,kn,Kannada,169.0,3.3,kannada
46,ko,Korean,5644.0,54.2,hangul
47,ku,Kurmanji,66.0,0.4,latin
48,ky,Kyrgyz,94.0,1.2,cyrillic
49,la,Latin,390.0,2.5,latin
50,lo,Lao,17.0,0.6,lao
51,lt,Lithuanian,1835.0,13.7,latin
52,lv,Latvian,1198.0,8.8,latin
53,lzh,Traditional Chinese,176.0,16.6,chinese
54,mg,Malagasy,25.0,0.2,latin
55,mk,Macedonian,449.0,4.8,cyrillic
56,ml,Malayalam,313.0,7.6,malayalam
57,mn,Mongolian,248.0,3.0,cyrillic
58,mr,Marathi,175.0,2.8,devanagari
59,ms,Malay,1318.0,8.5,latin
60,my,Burmese,15.0,0.4,myanmar
61,my,Burmese,56.0,1.6,myanmar
62,ne,Nepali,237.0,3.8,devanagari
63,nl,Dutch,5025.0,29.3,latin
64,no,Norwegian,8494.0,49.0,latin
65,om,Oromo,8.0,0.1,latin
66,or,Oriya,36.0,0.6,oriya
67,pa,Punjabi,68.0,0.8,gurmukhi
68,pl,Polish,6490.0,44.6,latin
69,ps,Pashto,96.0,0.7,arabic
70,pt,Portuguese,8405.0,49.1,latin
71,ro,Romanian,10354.0,61.4,latin
72,ru,Russian,23408.0,278.0,cyrillic
73,sa,Sanskrit,17.0,0.3,devanagari
74,sd,Sindhi,50.0,0.4,arabic
75,si,Sinhala,243.0,3.6,sinhala
76,sk,Slovak,3525.0,23.2,latin
77,sl,Slovenian,1669.0,10.3,latin
78,so,Somali,62.0,0.4,latin
79,sq,Albanian,918.0,5.4,latin
80,sr,Serbian,843.0,9.1,cyrillic
81,su,Sundanese,10.0,0.1,latin
82,sv,Swedish,77.8,12.1,latin
83,sw,Swahili,275.0,1.6,latin
84,ta,Tamil,595.0,12.2,tamil
85,ta,Tamil,36.0,0.3,latin
86,te,Telugu,249.0,4.7,telugu
87,te,Telugu,39.0,0.3,latin
88,th,Thai,1834.0,71.7,thai
89,tl,Filipino,556.0,3.1,latin
90,tr,Turkish,2736.0,20.9,latin
91,ug,Uyghur,27.0,0.4,arabic
92,uk,Ukrainian,6.5,84.6,cyrillic
93,ur,Urdu,730.0,5.7,arabic
94,ur,Urdu,85.0,0.5,latin
95,uz,Uzbek,91.0,0.7,latin
96,vi,Vietnamese,24757.0,137.3,latin
97,xh,Xhosa,13.0,0.1,latin
98,yi,Yiddish,34.0,0.3,hebrew
99,zh,Chinese,259.0,46.9,chinese
